"Participant_Private_ID","age","gender","ethnic","religiosity","education","education-quantised","children","SES","comment","ethnic2","ethnic-other","ethnic3"
"8991589",21,"woman","ישראלי/ת","8","חלק מתואר ראשון באוניברסיטה","5",0,6,NA,"יהודי/ת",NA,NA
"8990803",18,"woman","ישראלי/ת","3","השלמתי בית ספר תיכון","4",NA,7,"היה ניסוי מגניב באמת מעניין איך הוא עובד על המוח","יהודי/ת",NA,NA
"8990792",22,"woman","ישראלי/ת","7","חלק מתואר ראשון באוניברסיטה","5",0,5,NA,"יהודי/ת",NA,NA
"8990743",26,"woman","ישראלי/ת","2","השלמתי תואר ראשון באוניברסיטה","6",NA,7,NA,"יהודי/ת",NA,NA
"8989936",29,"man","ישראלי/ת","1","השלמתי תואר ראשון באוניברסיטה","6",0,6,NA,NA,NA,NA
"8989845",27,"woman","ישראלי/ת","5","חלק מתואר ראשון באוניברסיטה","5",0,5,NA,"יהודי/ת",NA,NA
"8989714",39,"man","ישראלי/ת","8","השלמתי תואר ראשון באוניברסיטה","6",0,7,NA,"יהודי/ת",NA,NA
"8989377",NA,"man","ישראלי/ת","1","השלמתי תואר ראשון באוניברסיטה","6",2,7,NA,NA,NA,NA
"8989222",NA,"woman","ישראלי/ת","1","למדתי לימודים מתקדמים מעבר לתואר ראשון","7",3,8,NA,"יהודי/ת",NA,NA
"8989096",49,"man","ישראלי/ת","6","השלמתי בית ספר תיכון","4",NA,6,NA,NA,NA,NA
"8989090",NA,"man","ישראלי/ת","1","חלק מתואר ראשון באוניברסיטה","5",0,6,"להאריך את הזמן תגובה בקצת",NA,NA,NA
"8989040",30,"woman","ישראלי/ת","8","השלמתי תואר ראשון באוניברסיטה","6",3,6,NA,"יהודי/ת",NA,"חרד/ית"
"8988751",35,"man","ישראלי/ת","7","השלמתי תואר ראשון באוניברסיטה","6",2,6,NA,"יהודי/ת",NA,NA
"8988737",NA,"man","ישראלי/ת","6","השלמתי בית ספר תיכון","4",0,6,"לא היה זמן לראות את הפרצופים","יהודי/ת",NA,NA
"8988579",24,"man","ישראלי/ת","6","חלק מתואר ראשון באוניברסיטה","5",0,3,NA,"יהודי/ת",NA,NA
